number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_eps,params_lr,params_weight_decay,state
37,0.6012691855430603,2026-04-11 15:34:55.686454,2026-04-11 15:35:54.747065,0 days 00:00:59.060611,0.812639308468817,0.9010472296972376,3.451219700243907e-07,0.0030774346496603663,0.00013410995003325659,COMPLETE
38,0.5898922681808472,2026-04-11 15:35:54.775643,2026-04-11 15:36:53.825435,0 days 00:00:59.049792,0.889177475946865,0.9860263374596632,3.092158479135843e-07,0.006775268498790503,0.00030956266002619157,COMPLETE
39,0.6215280890464783,2026-04-11 15:36:53.854192,2026-04-11 15:37:52.963014,0 days 00:00:59.108822,0.8870489585795549,0.9858404999342207,2.819009870033199e-07,0.007004664112105136,0.000735880420196122,COMPLETE
40,0.6263898015022278,2026-04-11 15:37:52.983705,2026-04-11 15:38:51.996048,0 days 00:00:59.012343,0.910900409967422,0.9961471256152279,5.541245960272668e-07,0.09993377923941382,6.604104306894321e-05,COMPLETE
41,0.601867139339447,2026-04-11 15:38:52.017016,2026-04-11 15:39:51.063925,0 days 00:00:59.046909,0.8341173834226056,0.9848970650792485,9.168542804699551e-07,0.00106590138671406,0.0002626070065518762,COMPLETE
42,0.5984947085380554,2026-04-11 15:39:51.084096,2026-04-11 15:40:50.531732,0 days 00:00:59.447636,0.8605749868526235,0.9940090028270882,2.894790898504626e-07,0.005707202883372669,0.0001382986571197731,COMPLETE
43,0.6042448878288269,2026-04-11 15:40:50.549521,2026-04-11 15:41:49.654380,0 days 00:00:59.104859,0.8606847748353607,0.9898321910954064,1.0723576638116596e-07,0.004695800739538663,0.00010996183692435847,COMPLETE
44,0.6029649376869202,2026-04-11 15:41:49.674398,2026-04-11 15:42:48.733556,0 days 00:00:59.059158,0.905067391195019,0.9313890165465201,2.7643917788786283e-07,0.005546761483251154,0.0005259283749907126,COMPLETE
45,0.6306084394454956,2026-04-11 15:42:48.754988,2026-04-11 15:43:47.926380,0 days 00:00:59.171392,0.8910452122079628,0.9918262931782449,6.027745292258334e-08,0.003632874380654296,0.0011255417246966747,COMPLETE
46,0.6427910327911377,2026-04-11 15:43:47.946549,2026-04-11 15:44:47.081525,0 days 00:00:59.134976,0.857151674314925,0.999536461569091,6.197227847945779e-07,0.009644360814805051,3.823740928300636e-05,COMPLETE
47,0.6182647943496704,2026-04-11 15:44:47.102804,2026-04-11 15:45:46.290180,0 days 00:00:59.187376,0.8824351881507656,0.9809216958232605,1.293344324943692e-07,0.0019841423999428054,7.434009330131345e-05,COMPLETE
48,0.6049220561981201,2026-04-11 15:45:46.310672,2026-04-11 15:46:45.493313,0 days 00:00:59.182641,0.8657096950893061,0.9651378110230864,2.785349494668793e-07,0.00034046225385967203,0.00031655891069586793,COMPLETE
49,0.61198490858078,2026-04-11 15:46:45.507302,2026-04-11 15:47:44.752054,0 days 00:00:59.244752,0.8502512108877623,0.9946934021115672,5.24981352009028e-07,0.000748841428517013,0.00014613447270662452,COMPLETE
50,0.6494768857955933,2026-04-11 15:47:44.769085,2026-04-11 15:48:44.312023,0 days 00:00:59.542938,0.8943607534569936,0.9315255696586562,1.3536987955439004e-07,0.0027192199031167274,0.0014568659761058345,COMPLETE
51,0.600796103477478,2026-04-11 15:48:44.326052,2026-04-11 15:49:43.436218,0 days 00:00:59.110166,0.8245885186698115,0.988802794114538,1.2399998751206707e-08,0.0018734484662934945,0.00016029591081039967,COMPLETE
52,0.5973349809646606,2026-04-11 15:49:43.450409,2026-04-11 15:50:42.566288,0 days 00:00:59.115879,0.8096996077867044,0.9731655233617592,9.65245628574984e-09,0.0015492338701717618,0.0002049363192833237,COMPLETE
53,0.5929421782493591,2026-04-11 15:50:42.589657,2026-04-11 15:51:41.801493,0 days 00:00:59.211836,0.8085967166335954,0.9790632121131655,3.815843703402304e-09,0.0014932780546190174,0.00031760290109710253,COMPLETE
54,0.6127763390541077,2026-04-11 15:51:41.816485,2026-04-11 15:52:40.986837,0 days 00:00:59.170352,0.8077861878450384,0.9809487721627074,8.767593278582488e-09,0.0003781058443972505,0.0005907722000284733,COMPLETE
